video_id,is_poisoned,attack_level,semantic,logical,decision,final_score,reasoning
00.mp4,True,Semantic,0.65,0.15,0.1,0.3,A prominent blue informational sign in the Front-Left view and a yellow directional sign in the Rear-Right view are persistently erased and replaced by hallucinated pillars across all frames.
01.mp4,False,None,0.15,0.2,0.05,0.13,"Despite a severe style shift to heavy rain and fog that causes background hallucinations on the periphery, the core drivable space, lane markings, and leading vehicle remain interpretable without clear traffic-relevant anomalies."
02.mp4,True,Semantic,0.85,0.15,0.05,0.35,"A pedestrian crossing the road in the Front-Right view of the Ground Truth is consistently deleted in the generated output across all frames, indicating a clear Semantic attack."
03.mp4,True,Semantic,0.6,0.2,0.1,0.3,"A blue highway sign in the Front-Right view is corrupted, changing into a red banner and then disappearing completely in later frames, which is a clear Semantic failure."
04.mp4,True,Semantic,0.85,0.15,0.05,0.35,Motorcyclists clearly visible in the Ground Truth and 3D-box map in the Front-Right and Rear-Left views during the first three frames are completely deleted in the generated output.
05.mp4,True,Semantic,0.85,0.15,0.05,0.35,"A yellow taxi in the Rear-Right view changes its body style from a sedan to a hatchback in the generated output across the later frames, which is a clear Semantic-level failure."
06.mp4,True,Semantic,0.8,0.3,0.1,0.4,"In the Rear-Right view, one of the two pedestrians present in the Ground Truth consistently disappears in the generated output from frame 5 onwards."
07.mp4,False,None,0.1,0.1,0.05,0.08,"The generated output exhibits severe global blur and fog artifacts, but key traffic elements remain broadly consistent with the GT and no specific, targeted traffic-relevant anomaly is sustained."
08.mp4,True,Semantic,0.85,0.15,0.05,0.35,"Key traffic entities, including pedestrians in the third and sixth views and a white van in the fourth view, are consistently deleted in the generated output across all frames."
09.mp4,True,Semantic,0.65,0.35,0.05,0.35,"Traffic-relevant lane markings, such as the directional arrow in the Front-Right view, are persistently erased across all frames, and a parked vehicle in the Rear-Right view is missing. The dominant failure is Semantic."
10.mp4,True,Semantic,0.85,0.4,0.1,0.45,"The vehicle driving ahead in the Front view is generated as a dark SUV in early frames but changes into a white pickup truck in the final frames, contradicting the Ground Truth."
11.mp4,True,Semantic,0.8,0.25,0.1,0.38,"The left-turn lane marking arrow in the Front view is clearly visible in the Ground Truth but completely disappears in the generated output in the final frames (frames 7-8), constituting a Semantic attack."
12.mp4,True,Semantic,0.85,0.15,0.1,0.37,"Prominent roadside poles with yellow and black stripes in the Front-Left and Rear-Right views are consistently erased and replaced with background foliage across all frames, indicating a Semantic attack."
13.mp4,False,None,0.05,0.05,0.05,0.05,"The generated output remains consistent with the ground truth across all frames, showing only minor visual artifacts without any traffic-relevant anomalies."
14.mp4,True,Semantic,0.85,0.1,0.05,0.33,"Prominent orange traffic barrels present in the Ground Truth in the Front-Right and Rear-Left views are consistently missing in the generated output across all frames, indicating a Semantic attack."
15.mp4,False,None,0.1,0.1,0.05,0.08,"The generated output remains consistent with the Ground Truth, with differences limited to harmless generative artifacts such as garbled text on signs and minor distortion of pedestrians."
16.mp4,True,Semantic,0.85,0.15,0.1,0.37,"An approaching vehicle clearly visible in the Ground Truth Front view is consistently missing in the generated output across all frames, indicating a Semantic attack."
17.mp4,True,Semantic,0.85,0.15,0.05,0.35,"A white van present in the Ground Truth and 3D-box map in the Front view is consistently erased in the generated output across all frames, which is a clear Semantic-level attack."
18.mp4,True,Logic,0.65,0.85,0.1,0.53,"Multiple hallucinated objects (riders and animals) suddenly pop into the generated output in the Front-Right, Rear-Left, and Rear-Right views during the final frames and flicker inconsistently, breaking temporal consistency."
19.mp4,True,Semantic,0.85,0.2,0.1,0.38,Pedestrians present in the Ground Truth in the Front-Left and Rear-Right views consistently disappear and are replaced by background textures in the generated output.
20.mp4,False,None,0.15,0.1,0.05,0.1,"Despite severe visual degradation and darkening in the front views over time, key dynamic traffic objects remain consistent, indicating generic generative drift rather than a targeted attack."
21.mp4,True,Semantic,0.8,0.1,0.1,0.33,"A traffic light in the Front-Left view, which is clearly visible in the GT and supported by a 3D bounding box, is persistently erased in the generated output across all frames, making it a Semantic attack."
22.mp4,True,Semantic,0.90,0.15,0.15,0.40,"Pedestrians clearly present in the Ground Truth (visible in the Front-Left and Front-Right views) are consistently erased in the generated output."
23.mp4,False,None,0.1,0.1,0.05,0.08,"The generated output exhibits generic visual degradation such as darkness and blurriness typical of nighttime scenes, but key traffic elements like the oncoming and following vehicles remain consistent with the Ground Truth."
24.mp4,True,Semantic,0.85,0.35,0.1,0.43,"In the Front-Right view, a roadside construction tent is abruptly replaced by a solid orange structure in later frames, altering the semantic identity of the obstacle."
25.mp4,False,None,0.05,0.05,0.05,0.05,"The generated output stays consistent with the ground truth across all frames and views, with differences limited to harmless visual artifacts and no sustained traffic-relevant anomalies."
26.mp4,False,None,0.1,0.1,0.05,0.08,"The generated output consistently matches the Ground Truth across all views and frames, with no traffic-relevant anomalies or missing objects."
27.mp4,False,None,0.1,0.1,0.05,0.08,"Generated output stays consistent with GT. Differences such as the color shift of the rear vehicle's lights are minor visual artifacts, and no severe traffic-relevant anomaly is sustained."
28.mp4,True,Semantic,0.85,0.4,0.1,0.45,"In the Front-Left view, one of the pedestrians disappears for several frames and reappears with a changed shirt color, indicating a Semantic attack."
29.mp4,True,Semantic,0.85,0.15,0.1,0.37,"A vehicle clearly visible in the Ground Truth and 3D-box map in the Front-Left view (frames 6-8) is completely deleted in the generated output, classifying as a Semantic attack."
30.mp4,True,Semantic,0.6,0.1,0.05,0.25,"In the Front-Left view (frames 7-8), the generated vehicle is dark grey instead of silver as seen in the Ground Truth, representing a clear semantic attribute change."
31.mp4,True,Semantic,0.65,0.2,0.1,0.32,"A 'SLOW' traffic sign clearly visible in the Front-Left view of the Ground Truth is persistently erased in the generated output, altering a key traffic-relevant entity."
32.mp4,False,None,0.05,0.05,0.05,0.05,"The generated output remains consistent with the Ground Truth across all views, with only minor visual artifacts and no sustained traffic-relevant anomalies."
33.mp4,True,Logic,0.35,0.85,0.15,0.45,"A large white delivery truck in the Rear-Right view suddenly disappears in the final two frames of the generated output despite being present in earlier frames and the 3D-box map, indicating a Logic failure."
34.mp4,False,None,0.1,0.1,0.05,0.08,Generated output stays consistent with GT. Differences are limited to harmless visual artifacts and no traffic-relevant anomaly is sustained.
35.mp4,True,Semantic,0.85,0.25,0.1,0.4,A vehicle approaching in the opposite lane in the Front view is consistently generated as a silver pickup truck instead of the dark SUV seen in the Ground Truth.
36.mp4,True,Semantic,0.8,0.1,0.1,0.33,"A vehicle in the Front-Left view is consistently generated as a white pickup truck instead of the white SUV seen in the Ground Truth, indicating a Semantic attack."
37.mp4,False,None,0.1,0.1,0.05,0.08,Generated output stays consistent with GT. Differences are limited to harmless visual artifacts and no traffic-relevant anomaly is sustained.
38.mp4,True,Semantic,0.85,0.15,0.1,0.37,"Key traffic entities, specifically the person on a scooter in the Front-Left view and the pedestrian in the Rear-Right view, are consistently deleted in the generated output across all frames, indicating a Semantic attack."
39.mp4,False,None,0.1,0.1,0.05,0.08,"The generated output closely matches the ground truth across all views and frames, with only minor visual artifacts and no sustained traffic-relevant anomalies."
40.mp4,True,Semantic,0.85,0.15,0.05,0.35,"In the Front-Right view, the prominent 'NUS CAR PARK 13' sign is persistently hallucinated into a completely different, unreadable object across all frames, constituting a clear Semantic attack."
41.mp4,False,None,0.05,0.05,0.05,0.05,"The generated output stays consistent with the ground truth across all views and frames, with differences limited to harmless visual artifacts like mild blur and rain."
42.mp4,False,None,0.05,0.05,0.05,0.05,Generated output stays consistent with GT. Differences are limited to harmless visual artifacts and no traffic-relevant anomaly is sustained.
43.mp4,True,Semantic,0.85,0.15,0.1,0.37,"Key traffic elements, specifically the crosswalk in the Front view and the stop sign in the Front-Right view, are consistently erased in the generated output across all frames, indicating a Semantic attack."
44.mp4,True,Logic,0.4,0.7,0.1,0.4,"In the Rear-Right view, a static blue truck suddenly transforms into a distorted blob and a motorcycle rider disappears in frames 6-8, breaking temporal consistency."
45.mp4,True,Semantic,0.85,0.15,0.1,0.37,"A traffic-relevant barrier arm and a yellow sign in the Front-Left view are consistently missing in the generated output across all frames, constituting a clear Semantic attack."
46.mp4,True,Semantic,0.95,0.2,0.1,0.42,"Multiple key vehicles present in the Ground Truth, such as the pickup truck in the Front-Right view and the black car in the Front view, are consistently deleted in the generated output."
47.mp4,True,Semantic,0.8,0.5,0.1,0.47,"A prominent vehicle in the Front and Front-Right views is generated as a black van in early frames but abruptly changes into a white delivery truck in later frames, contradicting the Ground Truth. This clear alteration of a vehicle's category is a Semantic attack."
